id,state_id,city_key,name
1,1,001,AGUASCALIENTES
2,1,002,ASIENTOS
3,1,003,CALVILLO
4,1,004,COSÍO
5,1,005,JESÚS MARÍA
6,1,006,PABELLÓN DE ARTEAGA
7,1,007,RINCÓN DE ROMOS
8,1,008,SAN JOSÉ DE GRACIA
9,1,009,TEPEZALÁ
10,1,010,EL LLANO
11,1,011,SAN FRANCISCO DE LOS ROMO
12,2,001,ENSENADA
13,2,002,MEXICALI
14,2,003,TECATE
15,2,004,TIJUANA
16,2,005,PLAYAS DE ROSARITO
17,3,001,COMONDÚ
18,3,002,MULEGÉ
19,3,003,LA PAZ
20,3,008,LOS CABOS
21,3,009,LORETO
22,4,001,CALKINÍ
23,4,002,CAMPECHE
24,4,003,CARMEN
25,4,004,CHAMPOTÓN
26,4,005,HECELCHAKÁN
27,4,006,HOPELCHÉN
28,4,007,PALIZADA
29,4,008,TENABO
30,4,009,ESCÁRCEGA
31,4,010,CALAKMUL
32,4,011,CANDELARIA
33,5,001,ABASOLO
34,5,002,ACUÑA
35,5,003,ALLENDE
36,5,004,ARTEAGA
37,5,005,CANDELA
38,5,006,CASTAÑOS
39,5,007,CUATRO CIÉNEGAS
40,5,008,ESCOBEDO
41,5,009,FRANCISCO I. MADERO
42,5,010,FRONTERA
43,5,011,GENERAL CEPEDA
44,5,012,GUERRERO
45,5,013,HIDALGO
46,5,014,JIMÉNEZ
47,5,015,JUÁREZ
48,5,016,LAMADRID
49,5,017,MATAMOROS
50,5,018,MONCLOVA
51,5,019,MORELOS
52,5,020,MÚZQUIZ
53,5,021,NADADORES
54,5,022,NAVA
55,5,023,OCAMPO
56,5,024,PARRAS
57,5,025,PIEDRAS NEGRAS
58,5,026,PROGRESO
59,5,027,RAMOS ARIZPE
60,5,028,SABINAS
61,5,029,SACRAMENTO
62,5,030,SALTILLO
63,5,031,SAN BUENAVENTURA
64,5,032,SAN JUAN DE SABINAS
65,5,033,SAN PEDRO
66,5,034,SIERRA MOJADA
67,5,035,TORREÓN
68,5,036,VIESCA
69,5,037,VILLA UNIÓN
70,5,038,ZARAGOZA
